Name,Place,Type,Price,ReviewsCount,Rating,City,State
Room Mate Bruno,"Feijenoord, Rotterdam",Basic Room Double or Twin Room,"₹ 8,370",500,8.7,Feijenoord, Rotterdam
Savoy Hotel Rotterdam,"Centrum, Rotterdam",Double Room,"₹ 8,706",500,8.5,Centrum, Rotterdam
Hotel New York,"Feijenoord, Rotterdam",Double Room with Courtyard View,"₹ 9,542",500,8.7,Feijenoord, Rotterdam
Supernova Hotel,"Centrum, Rotterdam",Standard Double Room,"₹ 9,675",1000,8.9,Centrum, Rotterdam
Hotel Unplugged,"Centrum, Rotterdam",Standard Double Room,"₹ 10,532",1723,8.5,Centrum, Rotterdam
"The Slaak Rotterdam, a Tribute Portfolio Hotel","Kralingen-Crooswijk, Rotterdam",Standard King Room,"₹ 11,034",1036,8.7,Kralingen-Crooswijk, Rotterdam
citizenM Rotterdam,"Centrum, Rotterdam",King Room,"₹ 11,348",500,8.8,Centrum, Rotterdam
PREMIER SUITES PLUS Rotterdam,"Centrum, Rotterdam",One-Bedroom Apartment,"₹ 11,597",500,8.9,Centrum, Rotterdam
Hotel Van Walsum,"Centrum, Rotterdam",Comfort Double or Twin Room,"₹ 11,757",500,8.5,Centrum, Rotterdam
Hostel ROOM Rotterdam,"Centrum, Rotterdam",Family Room with Balcony and Shared Bathroom,"₹ 13,722",1360,8.5,Centrum, Rotterdam
Boathotel Rotterdam Wilhelmina,"Centrum, Rotterdam",Apartment,"₹ 27,481",22,8.6,Centrum, Rotterdam
The Student Hotel Rotterdam,"Kralingen-Crooswijk, Rotterdam",Standard Double,"₹ 5,486",500,8.3,Kralingen-Crooswijk, Rotterdam
Hotel Breitner,"Centrum, Rotterdam",Standard Double Room,"₹ 5,573",500,8.3,Centrum, Rotterdam
ss Rotterdam Hotel en Restaurants,"Feijenoord, Rotterdam",Twin Standard,"₹ 6,539",500,8.3,Feijenoord, Rotterdam
Stayokay Hostel Rotterdam,"Centrum, Rotterdam",Twin Room with Private Bathroom and Shower,"₹ 7,558",500,8,Centrum, Rotterdam
Boulevard Hotel Scheveningen,Scheveningen,Comfort Twin Room with Shower,"₹ 12,042",1586,8.6,Scheveningen,
Ramada The Hague Scheveningen,Scheveningen,Standard Twin Room,"₹ 12,900",500,8.5,Scheveningen,
Aquarius Hotel,Scheveningen,Comfort Double Room,"₹ 13,063",2458,8.5,Scheveningen,
Hotel De Stern,Scheveningen,Budget Double Room,"₹ 10,614",550,8.3,Scheveningen,
